HOLE_ID,FROM,TO,ALTERACION,INTENSIDAD
DH-003,62,64,FILICA,Fuerte
DH-003,64,66,ARGILICA,Moderada
DH-004,0,2,FILICA,Fuerte
DH-004,2,4,FILICA,Moderada
DH-004,4,6,POTASICA,Fuerte
DH-004,6,8,POTASICA,Debil
DH-004,8,10,PROPILITICA,Debil
DH-004,10,12,ARGILICA,Fuerte
DH-004,12,14,FILICA,Fuerte
DH-004,14,16,ARGILICA,Moderada
DH-004,16,18,SILICIFICACION,Fuerte
DH-004,18,20,FILICA,Fuerte
DH-004,20,22,ARGILICA,Moderada
DH-004,22,24,PROPILITICA,Moderada
DH-004,24,26,PROPILITICA,Moderada
DH-004,26,28,FILICA,Fuerte
DH-004,28,30,SILICIFICACION,Moderada
DH-004,30,32,PROPILITICA,Debil
DH-004,32,34,PROPILITICA,Debil
DH-004,34,36,SILICIFICACION,Debil
DH-004,36,38,ARGILICA,Fuerte
DH-004,38,40,PROPILITICA,Debil
DH-004,40,42,POTASICA,Fuerte
DH-004,42,44,PROPILITICA,Fuerte
DH-004,44,46,ARGILICA,Debil
DH-004,46,48,ARGILICA,Moderada
DH-004,48,50,FILICA,Fuerte
DH-004,50,52,POTASICA,Debil
DH-004,52,54,ARGILICA,Fuerte
DH-004,54,56,SILICIFICACION,Moderada
DH-004,56,58,POTASICA,Moderada
DH-004,58,60,POTASICA,Debil
DH-004,60,62,SILICIFICACION,Fuerte
DH-004,62,64,PROPILITICA,Fuerte
DH-004,64,66,SILICIFICACION,Fuerte
DH-005,0,2,SILICIFICACION,Fuerte
DH-005,2,4,PROPILITICA,Debil
DH-005,4,6,PROPILITICA,Moderada
DH-005,6,8,PROPILITICA,Debil
DH-005,8,10,PROPILITICA,Fuerte
DH-005,10,12,PROPILITICA,Fuerte
DH-005,12,14,SILICIFICACION,Moderada
DH-005,14,16,FILICA,Fuerte
DH-005,16,18,FILICA,Debil
DH-005,18,20,ARGILICA,Debil
DH-005,20,22,FILICA,Moderada
DH-005,22,24,FILICA,Debil
DH-005,24,26,SILICIFICACION,Debil
DH-005,26,28,PROPILITICA,Debil
DH-005,28,30,PROPILITICA,Debil
DH-005,30,32,SILICIFICACION,Fuerte
DH-005,32,34,FILICA,Debil
DH-005,34,36,SILICIFICACION,Moderada
DH-005,36,38,ARGILICA,Moderada
DH-005,38,40,PROPILITICA,Debil
DH-005,40,42,POTASICA,Moderada
DH-005,42,44,ARGILICA,Debil
DH-005,44,46,ARGILICA,Moderada
DH-005,46,48,SILICIFICACION,Moderada
DH-005,48,50,FILICA,Debil
DH-005,50,52,PROPILITICA,Debil
DH-005,52,54,POTASICA,Fuerte
DH-005,54,56,ARGILICA,Debil
DH-005,56,58,POTASICA,Debil
DH-005,58,60,FILICA,Fuerte
DH-005,60,62,FILICA,Debil
DH-005,62,64,POTASICA,Debil
DH-005,64,66,PROPILITICA,Fuerte
DH-006,0,2,FILICA,Debil
DH-006,2,4,POTASICA,Debil
DH-006,4,6,ARGILICA,Fuerte
DH-006,6,8,POTASICA,Fuerte
DH-006,8,10,POTASICA,Moderada
DH-006,10,12,SILICIFICACION,Debil
DH-006,12,14,FILICA,Moderada
DH-006,14,16,PROPILITICA,Moderada
DH-006,16,18,PROPILITICA,Fuerte
DH-006,18,20,SILICIFICACION,Debil
DH-006,20,22,PROPILITICA,Debil
DH-006,22,24,POTASICA,Fuerte
DH-006,24,26,SILICIFICACION,Moderada
DH-006,26,28,ARGILICA,Fuerte
DH-006,28,30,FILICA,Debil
DH-006,30,32,FILICA,Fuerte
DH-006,32,34,FILICA,Debil
DH-006,34,36,POTASICA,Moderada
DH-006,36,38,ARGILICA,Debil
DH-006,38,40,SILICIFICACION,Moderada
DH-006,40,42,SILICIFICACION,Moderada
DH-006,42,44,FILICA,Debil
DH-006,44,46,ARGILICA,Debil
DH-006,46,48,ARGILICA,Moderada
DH-006,48,50,ARGILICA,Fuerte
DH-006,50,52,PROPILITICA,Debil
DH-006,52,54,PROPILITICA,Moderada
DH-006,54,56,FILICA,Moderada
DH-006,56,58,ARGILICA,Fuerte
DH-006,58,60,ARGILICA,Debil
DH-006,60,62,SILICIFICACION,Moderada
DH-006,62,64,SILICIFICACION,Fuerte
DH-006,64,66,FILICA,Moderada
DH-007,0,2,ARGILICA,Debil
DH-007,2,4,FILICA,Fuerte
DH-007,4,6,SILICIFICACION,Moderada
DH-007,6,8,SILICIFICACION,Fuerte
DH-007,8,10,PROPILITICA,Debil
DH-007,10,12,FILICA,Fuerte
DH-007,12,14,FILICA,Debil
DH-007,14,16,ARGILICA,Moderada
DH-007,16,18,ARGILICA,Debil
DH-007,18,20,PROPILITICA,Moderada
DH-007,20,22,POTASICA,Moderada
DH-007,22,24,POTASICA,Debil
DH-007,24,26,POTASICA,Moderada
DH-007,26,28,FILICA,Fuerte
DH-007,28,30,FILICA,Moderada
DH-007,30,32,SILICIFICACION,Debil
DH-007,32,34,FILICA,Fuerte
DH-007,34,36,FILICA,Fuerte
DH-007,36,38,FILICA,Moderada
DH-007,38,40,PROPILITICA,Moderada
DH-007,40,42,FILICA,Debil
DH-007,42,44,ARGILICA,Fuerte
DH-007,44,46,ARGILICA,Debil
DH-007,46,48,SILICIFICACION,Moderada
DH-007,48,50,PROPILITICA,Fuerte
DH-007,50,52,ARGILICA,Debil
DH-007,52,54,PROPILITICA,Debil
DH-007,54,56,PROPILITICA,Debil
DH-007,56,58,SILICIFICACION,Debil
DH-007,58,60,PROPILITICA,Debil
DH-007,60,62,FILICA,Fuerte
DH-007,62,64,PROPILITICA,Debil
DH-007,64,66,SILICIFICACION,Fuerte
DH-008,0,2,SILICIFICACION,Debil
DH-008,2,4,SILICIFICACION,Moderada
DH-008,4,6,ARGILICA,Moderada
DH-008,6,8,FILICA,Debil
DH-008,8,10,ARGILICA,Moderada
DH-008,10,12,POTASICA,Fuerte
DH-008,12,14,FILICA,Debil
DH-008,14,16,PROPILITICA,Fuerte
DH-008,16,18,SILICIFICACION,Debil
DH-008,18,20,POTASICA,Moderada
DH-008,20,22,FILICA,Fuerte
DH-008,22,24,ARGILICA,Moderada
DH-008,24,26,SILICIFICACION,Moderada
DH-008,26,28,ARGILICA,Debil
DH-008,28,30,FILICA,Fuerte
DH-008,30,32,FILICA,Moderada
DH-008,32,34,POTASICA,Debil
DH-008,34,36,PROPILITICA,Debil
DH-008,36,38,ARGILICA,Debil
DH-008,38,40,POTASICA,Moderada
DH-008,40,42,SILICIFICACION,Debil
DH-008,42,44,PROPILITICA,Fuerte
DH-008,44,46,POTASICA,Fuerte
DH-008,46,48,ARGILICA,Moderada
DH-008,48,50,FILICA,Fuerte
DH-008,50,52,SILICIFICACION,Debil
DH-008,52,54,ARGILICA,Moderada
DH-008,54,56,PROPILITICA,Debil
DH-008,56,58,PROPILITICA,Moderada
DH-008,58,60,FILICA,Moderada
DH-008,60,62,FILICA,Debil
DH-008,62,64,SILICIFICACION,Fuerte
DH-008,64,66,SILICIFICACION,Fuerte
DH-009,0,2,FILICA,Moderada
DH-009,2,4,FILICA,Debil
DH-009,4,6,PROPILITICA,Debil
DH-009,6,8,FILICA,Moderada
DH-009,8,10,POTASICA,Fuerte
DH-009,10,12,ARGILICA,Debil
DH-009,12,14,FILICA,Fuerte
DH-009,14,16,SILICIFICACION,Fuerte
DH-009,16,18,POTASICA,Moderada
DH-009,18,20,SILICIFICACION,Moderada
DH-009,20,22,POTASICA,Fuerte
DH-009,22,24,FILICA,Debil
DH-009,24,26,ARGILICA,Debil
DH-009,26,28,SILICIFICACION,Moderada
DH-009,28,30,POTASICA,Fuerte
DH-009,30,32,PROPILITICA,Debil
DH-009,32,34,FILICA,Debil
DH-009,34,36,ARGILICA,Moderada
DH-009,36,38,FILICA,Fuerte
DH-009,38,40,PROPILITICA,Debil
DH-009,40,42,ARGILICA,Moderada
DH-009,42,44,PROPILITICA,Debil
DH-009,44,46,FILICA,Debil
DH-009,46,48,POTASICA,Debil
DH-009,48,50,FILICA,Moderada
DH-009,50,52,FILICA,Fuerte
DH-009,52,54,FILICA,Moderada
DH-009,54,56,SILICIFICACION,Fuerte
DH-009,56,58,PROPILITICA,Debil
DH-009,58,60,PROPILITICA,Fuerte
DH-009,60,62,PROPILITICA,Debil
DH-009,62,64,SILICIFICACION,Debil
DH-009,64,66,POTASICA,Moderada
DH-010,0,2,FILICA,Debil
DH-010,2,4,POTASICA,Moderada
DH-010,4,6,SILICIFICACION,Fuerte
DH-010,6,8,PROPILITICA,Fuerte
DH-010,8,10,FILICA,Debil
DH-010,10,12,ARGILICA,Moderada
DH-010,12,14,ARGILICA,Debil
DH-010,14,16,POTASICA,Moderada
DH-010,16,18,PROPILITICA,Moderada
DH-010,18,20,ARGILICA,Moderada
DH-010,20,22,POTASICA,Fuerte
DH-010,22,24,SILICIFICACION,Moderada
DH-010,24,26,POTASICA,Fuerte
DH-010,26,28,POTASICA,Moderada
DH-010,28,30,POTASICA,Fuerte
DH-010,30,32,FILICA,Fuerte
DH-010,32,34,POTASICA,Fuerte
DH-010,34,36,POTASICA,Debil
DH-010,36,38,FILICA,Moderada
DH-010,38,40,FILICA,Debil
DH-010,40,42,SILICIFICACION,Moderada
DH-010,42,44,PROPILITICA,Moderada
DH-010,44,46,ARGILICA,Debil
DH-010,46,48,ARGILICA,Fuerte
DH-010,48,50,POTASICA,Moderada
DH-010,50,52,SILICIFICACION,Fuerte
DH-010,52,54,POTASICA,Debil
DH-010,54,56,ARGILICA,Fuerte
DH-010,56,58,FILICA,Moderada
DH-010,58,60,PROPILITICA,Moderada
DH-010,60,62,SILICIFICACION,Moderada
DH-010,62,64,FILICA,Debil
DH-010,64,66,PROPILITICA,Moderada
DH-011,0,2,SILICIFICACION,Debil
DH-011,2,4,SILICIFICACION,Fuerte
DH-011,4,6,ARGILICA,Moderada
DH-011,6,8,FILICA,Moderada
DH-011,8,10,SILICIFICACION,Moderada
DH-011,10,12,SILICIFICACION,Fuerte
DH-011,12,14,PROPILITICA,Moderada
DH-011,14,16,ARGILICA,Debil
DH-011,16,18,POTASICA,Fuerte
DH-011,18,20,ARGILICA,Fuerte
DH-011,20,22,POTASICA,Fuerte
DH-011,22,24,FILICA,Fuerte
DH-011,24,26,FILICA,Fuerte
DH-011,26,28,SILICIFICACION,Debil
DH-011,28,30,FILICA,Fuerte
DH-011,30,32,SILICIFICACION,Moderada
DH-011,32,34,ARGILICA,Fuerte
DH-011,34,36,FILICA,Fuerte
DH-011,36,38,ARGILICA,Fuerte
DH-011,38,40,ARGILICA,Fuerte
DH-011,40,42,FILICA,Fuerte
DH-011,42,44,ARGILICA,Debil
DH-011,44,46,FILICA,Debil
DH-011,46,48,FILICA,Fuerte
DH-011,48,50,FILICA,Debil
DH-011,50,52,POTASICA,Moderada
DH-011,52,54,ARGILICA,Fuerte
DH-011,54,56,PROPILITICA,Moderada
DH-011,56,58,FILICA,Moderada
DH-011,58,60,ARGILICA,Fuerte
DH-011,60,62,SILICIFICACION,Moderada
DH-011,62,64,FILICA,Moderada
DH-011,64,66,FILICA,Moderada
