HOLE_ID,FROM,TO,LITOLOGIA
DH-011,32,34,ANDESITA
DH-011,34,36,QFP
DH-011,36,38,MONZONITA
DH-011,38,40,DACITA
DH-011,40,42,ANDESITA
DH-011,42,44,MONZONITA
DH-011,44,46,QFP
DH-011,46,48,DACITA
DH-011,48,50,QFP
DH-011,50,52,ANDESITA
DH-011,52,54,MONZONITA
DH-011,54,56,MONZONITA
DH-011,56,58,MONZONITA
DH-011,58,60,MONZONITA
DH-011,60,62,DACITA
DH-011,62,64,DACITA
DH-011,64,66,QFP
