HOLE_ID,FROM,TO,MINERAL_1,MINERAL_2,W2200_POS,TSA_SCORE
DH-003,6,8,Epidote,Gypsum,2202.8,0.9
DH-003,8,10,Alunite,Dickite,2203.7,0.92
DH-003,10,12,Epidote,Dickite,2211.7,0.53
DH-003,12,14,Alunite,Dickite,2203.9,0.47
DH-003,14,16,Epidote,Smectite,2196.2,0.57
DH-003,16,18,Illite,Smectite,2197,0.89
DH-003,18,20,Epidote,None,2205.1,0.93
DH-003,20,22,Epidote,Quartz,2207.5,0.87
DH-003,22,24,Kaolinite,Quartz,2206.5,0.46
DH-003,24,26,Epidote,Gypsum,2205.7,0.92
DH-003,26,28,Kaolinite,Dickite,2209.6,0.63
DH-003,28,30,Muscovite,Smectite,2202.8,0.41
DH-003,30,32,Chlorite,Gypsum,2208.6,0.64
DH-003,32,34,Epidote,Gypsum,2198.5,0.43
DH-003,34,36,Muscovite,Smectite,2201.4,0.7
DH-003,36,38,Kaolinite,Quartz,2197.8,0.59
DH-003,38,40,Epidote,Dickite,2203.9,0.66
DH-003,40,42,Epidote,Quartz,2204.8,0.74
DH-003,42,44,Illite,Gypsum,2205.5,0.88
DH-003,44,46,Muscovite,Dickite,2205.2,0.76
DH-003,46,48,Alunite,None,2201.3,0.64
DH-003,48,50,Alunite,Gypsum,2204.2,0.85
DH-003,50,52,Illite,Quartz,2199,0.9
DH-003,52,54,Kaolinite,Quartz,2210.5,0.47
DH-003,54,56,Alunite,Quartz,2203.8,0.69
DH-003,56,58,Alunite,Smectite,2203,0.56
DH-003,58,60,Chlorite,Gypsum,2211.4,0.43
DH-003,60,62,Muscovite,Dickite,2200,0.77
DH-003,62,64,Kaolinite,Quartz,2200.5,0.87
DH-003,64,66,Epidote,Quartz,2200.6,0.49
DH-004,0,2,Muscovite,Smectite,2204.7,0.85
DH-004,2,4,Kaolinite,Dickite,2206.7,0.87
DH-004,4,6,Alunite,Gypsum,2208,0.9
DH-004,6,8,Chlorite,None,2215.3,0.55
DH-004,8,10,Muscovite,Smectite,2196,0.9
DH-004,10,12,Alunite,Gypsum,2207.4,0.58
DH-004,12,14,Kaolinite,None,2202.8,0.7
DH-004,14,16,Muscovite,Quartz,2202.7,0.43
DH-004,16,18,Epidote,Quartz,2202.5,0.42
DH-004,18,20,Muscovite,Dickite,2201.4,0.8
DH-004,20,22,Alunite,None,2211.7,0.64
DH-004,22,24,Muscovite,Quartz,2208.4,0.54
DH-004,24,26,Epidote,Quartz,2205.1,0.5
DH-004,26,28,Chlorite,Dickite,2210.4,0.77
DH-004,28,30,Chlorite,Gypsum,2198.9,0.4
DH-004,30,32,Alunite,Quartz,2199.7,0.84
DH-004,32,34,Kaolinite,Smectite,2196.3,0.44
DH-004,34,36,Alunite,Smectite,2202.2,0.51
DH-004,36,38,Chlorite,Gypsum,2205.6,0.61
DH-004,38,40,Illite,None,2205.4,0.67
DH-004,40,42,Illite,Dickite,2205.6,0.6
DH-004,42,44,Muscovite,Smectite,2199.4,0.58
DH-004,44,46,Epidote,Smectite,2208.2,0.93
DH-004,46,48,Muscovite,Gypsum,2206,0.75
DH-004,48,50,Illite,None,2207.9,0.41
DH-004,50,52,Chlorite,None,2197.4,0.64
DH-004,52,54,Muscovite,Gypsum,2206.2,0.88
DH-004,54,56,Alunite,Smectite,2200.2,0.57
DH-004,56,58,Epidote,Dickite,2203.4,0.45
DH-004,58,60,Alunite,Smectite,2207.1,0.82
DH-004,60,62,Epidote,None,2205.4,0.73
DH-004,62,64,Chlorite,Smectite,2201.6,0.71
DH-004,64,66,Muscovite,Dickite,2205,0.43
DH-005,0,2,Epidote,Quartz,2198.9,0.48
DH-005,2,4,Alunite,Smectite,2209.6,0.74
DH-005,4,6,Muscovite,Gypsum,2204.2,0.51
DH-005,6,8,Muscovite,Quartz,2209.5,0.68
DH-005,8,10,Alunite,Gypsum,2202.9,0.7
DH-005,10,12,Illite,Gypsum,2202.9,0.56
DH-005,12,14,Epidote,Gypsum,2201.9,0.92
DH-005,14,16,Alunite,Smectite,2208.5,0.86
DH-005,16,18,Chlorite,None,2202.2,0.8
DH-005,18,20,Kaolinite,Quartz,2207.6,0.44
DH-005,20,22,Alunite,Dickite,2203.5,0.46
DH-005,22,24,Muscovite,None,2197.1,0.67
DH-005,24,26,Muscovite,Smectite,2202.7,0.49
DH-005,26,28,Alunite,Gypsum,2200.3,0.94
DH-005,28,30,Kaolinite,Dickite,2205.1,0.49
DH-005,30,32,Alunite,Quartz,2200.2,0.67
DH-005,32,34,Kaolinite,None,2208.7,0.6
DH-005,34,36,Kaolinite,None,2204.6,0.75
DH-005,36,38,Chlorite,Dickite,2204.3,0.47
DH-005,38,40,Epidote,Smectite,2207.6,0.64
DH-005,40,42,Muscovite,Quartz,2208.9,0.55
DH-005,42,44,Muscovite,Dickite,2204.9,0.89
DH-005,44,46,Kaolinite,Gypsum,2201.9,0.42
DH-005,46,48,Muscovite,Quartz,2197.9,0.9
DH-005,48,50,Illite,None,2202.3,0.86
DH-005,50,52,Kaolinite,Dickite,2202.5,0.56
DH-005,52,54,Muscovite,None,2205.4,0.83
DH-005,54,56,Illite,None,2203.6,0.42
DH-005,56,58,Chlorite,None,2207.8,0.93
DH-005,58,60,Muscovite,Smectite,2202.5,0.69
DH-005,60,62,Illite,None,2204.8,0.57
DH-005,62,64,Alunite,Gypsum,2209.7,0.6
DH-005,64,66,Epidote,Gypsum,2206.4,0.44
DH-006,0,2,Alunite,Quartz,2204.8,0.94
DH-006,2,4,Illite,None,2202.6,0.42
DH-006,4,6,Kaolinite,None,2202.5,0.76
DH-006,6,8,Kaolinite,Dickite,2201.6,0.64
DH-006,8,10,Muscovite,Smectite,2202.8,0.92
DH-006,10,12,Alunite,Quartz,2208,0.54
DH-006,12,14,Kaolinite,None,2204.1,0.69
DH-006,14,16,Kaolinite,Dickite,2199.6,0.67
DH-006,16,18,Alunite,Smectite,2212.1,0.79
DH-006,18,20,Chlorite,Quartz,2206.3,0.44
DH-006,20,22,Kaolinite,Quartz,2199.4,0.51
DH-006,22,24,Epidote,None,2203.2,0.52
DH-006,24,26,Illite,Quartz,2205.4,0.81
DH-006,26,28,Muscovite,Dickite,2211.8,0.5
DH-006,28,30,Kaolinite,Quartz,2200.6,0.72
DH-006,30,32,Epidote,Gypsum,2208.9,0.52
DH-006,32,34,Epidote,Dickite,2210.6,0.87
DH-006,34,36,Kaolinite,Smectite,2202.5,0.92
DH-006,36,38,Chlorite,Smectite,2203.9,0.69
DH-006,38,40,Illite,None,2200.9,0.59
DH-006,40,42,Muscovite,None,2204.2,0.53
DH-006,42,44,Kaolinite,Gypsum,2204.9,0.43
DH-006,44,46,Muscovite,Smectite,2207.6,0.55
DH-006,46,48,Alunite,Smectite,2209.4,0.76
DH-006,48,50,Epidote,Smectite,2202,0.69
DH-006,50,52,Epidote,Smectite,2197.1,0.92
DH-006,52,54,Kaolinite,Quartz,2204.9,0.62
DH-006,54,56,Kaolinite,Dickite,2206.2,0.78
DH-006,56,58,Alunite,Dickite,2206,0.67
DH-006,58,60,Chlorite,Gypsum,2203.7,0.68
DH-006,60,62,Kaolinite,Quartz,2205.5,0.55
DH-006,62,64,Epidote,Smectite,2211.1,0.65
DH-006,64,66,Muscovite,Smectite,2206.5,0.66
DH-007,0,2,Illite,None,2203.5,0.79
DH-007,2,4,Muscovite,None,2203,0.92
DH-007,4,6,Chlorite,Gypsum,2204.3,0.58
DH-007,6,8,Illite,Smectite,2211.5,0.42
DH-007,8,10,Muscovite,Gypsum,2204.3,0.67
DH-007,10,12,Muscovite,Quartz,2204.9,0.7
DH-007,12,14,Alunite,Dickite,2203.1,0.49
DH-007,14,16,Chlorite,Smectite,2209.4,0.82
DH-007,16,18,Epidote,Quartz,2212.8,0.94
DH-007,18,20,Alunite,Smectite,2206.8,0.92
DH-007,20,22,Illite,None,2205.3,0.51
DH-007,22,24,Epidote,Gypsum,2205.1,0.88
DH-007,24,26,Alunite,None,2195.5,0.79
DH-007,26,28,Chlorite,Dickite,2208,0.65
DH-007,28,30,Kaolinite,None,2205.5,0.7
DH-007,30,32,Kaolinite,Smectite,2206.7,0.87
DH-007,32,34,Illite,None,2202.2,0.66
DH-007,34,36,Kaolinite,Smectite,2203.5,0.61
DH-007,36,38,Alunite,Dickite,2203.4,0.67
DH-007,38,40,Illite,None,2209.1,0.72
DH-007,40,42,Epidote,Gypsum,2203.5,0.5
DH-007,42,44,Chlorite,Gypsum,2213.3,0.9
DH-007,44,46,Illite,Gypsum,2206.7,0.77
DH-007,46,48,Epidote,None,2199.9,0.75
DH-007,48,50,Illite,None,2204.5,0.45
DH-007,50,52,Muscovite,None,2202.4,0.73
DH-007,52,54,Muscovite,Smectite,2196.2,0.47
DH-007,54,56,Illite,Dickite,2211.4,0.44
DH-007,56,58,Kaolinite,Gypsum,2207.8,0.69
DH-007,58,60,Muscovite,Smectite,2207.1,0.62
DH-007,60,62,Chlorite,Gypsum,2205.7,0.72
DH-007,62,64,Epidote,Smectite,2199.5,0.45
DH-007,64,66,Alunite,None,2203.1,0.64
DH-008,0,2,Muscovite,Gypsum,2208.4,0.5
DH-008,2,4,Illite,None,2200.8,0.94
DH-008,4,6,Kaolinite,Gypsum,2194.9,0.71
DH-008,6,8,Alunite,Quartz,2204.1,0.78
DH-008,8,10,Epidote,Smectite,2204.4,0.58
DH-008,10,12,Epidote,Quartz,2205.5,0.45
DH-008,12,14,Muscovite,Smectite,2207.9,0.94
DH-008,14,16,Epidote,Dickite,2207.6,0.56
DH-008,16,18,Epidote,Gypsum,2206,0.63
DH-008,18,20,Kaolinite,Dickite,2209.8,0.76
DH-008,20,22,Kaolinite,Dickite,2198.9,0.41
DH-008,22,24,Kaolinite,Smectite,2207,0.85
DH-008,24,26,Illite,Quartz,2207.5,0.7
DH-008,26,28,Epidote,None,2200,0.55
DH-008,28,30,Epidote,Smectite,2199,0.43
DH-008,30,32,Epidote,None,2202,0.49
DH-008,32,34,Chlorite,Dickite,2202.4,0.89
DH-008,34,36,Kaolinite,None,2208,0.78
DH-008,36,38,Alunite,Quartz,2202.5,0.54
DH-008,38,40,Muscovite,Smectite,2201.6,0.44
DH-008,40,42,Alunite,Quartz,2202.6,0.78
DH-008,42,44,Illite,Quartz,2209.5,0.71
DH-008,44,46,Illite,Smectite,2205.1,0.62
DH-008,46,48,Epidote,Quartz,2204.3,0.6
DH-008,48,50,Alunite,Gypsum,2204.6,0.52
DH-008,50,52,Epidote,Gypsum,2210.2,0.77
DH-008,52,54,Chlorite,Gypsum,2202,0.93
DH-008,54,56,Illite,None,2210.3,0.5
DH-008,56,58,Illite,Quartz,2205.8,0.73
DH-008,58,60,Alunite,Smectite,2204.4,0.63
DH-008,60,62,Illite,Smectite,2215,0.65
DH-008,62,64,Chlorite,None,2200.8,0.54
DH-008,64,66,Chlorite,Smectite,2203.6,0.85
DH-009,0,2,Chlorite,Gypsum,2200.1,0.67
DH-009,2,4,Muscovite,Quartz,2208.8,0.7
DH-009,4,6,Chlorite,Smectite,2211.8,0.57
DH-009,6,8,Chlorite,Smectite,2211.7,0.5
DH-009,8,10,Muscovite,Dickite,2209.9,0.45
DH-009,10,12,Epidote,Dickite,2204.2,0.79
DH-009,12,14,Kaolinite,Dickite,2203.5,0.51
DH-009,14,16,Illite,Quartz,2198.3,0.78
DH-009,16,18,Chlorite,Gypsum,2213.1,0.61
DH-009,18,20,Illite,Gypsum,2206.9,0.63
DH-009,20,22,Alunite,Gypsum,2203,0.66
DH-009,22,24,Illite,Quartz,2210.3,0.6
DH-009,24,26,Epidote,Quartz,2201.1,0.46
DH-009,26,28,Muscovite,Dickite,2206.6,0.57
DH-009,28,30,Illite,Smectite,2204.3,0.77
DH-009,30,32,Illite,None,2207.6,0.77
DH-009,32,34,Illite,None,2204.7,0.56
DH-009,34,36,Kaolinite,Smectite,2199.2,0.65
DH-009,36,38,Kaolinite,Dickite,2205.3,0.51
DH-009,38,40,Alunite,Smectite,2209.2,0.52
DH-009,40,42,Muscovite,Smectite,2204.9,0.41
DH-009,42,44,Illite,None,2208.1,0.89
DH-009,44,46,Illite,Dickite,2200.8,0.52
DH-009,46,48,Illite,Quartz,2204.9,0.53
DH-009,48,50,Illite,None,2202.5,0.55
DH-009,50,52,Kaolinite,Quartz,2208,0.47
DH-009,52,54,Epidote,Dickite,2205.1,0.75
DH-009,54,56,Epidote,Smectite,2207.8,0.44
DH-009,56,58,Alunite,Gypsum,2209.4,0.47
DH-009,58,60,Chlorite,Gypsum,2207.8,0.75
DH-009,60,62,Muscovite,Dickite,2206.1,0.59
DH-009,62,64,Epidote,Gypsum,2201,0.79
DH-009,64,66,Illite,Quartz,2205,0.71
DH-010,0,2,Epidote,Gypsum,2202.9,0.54
DH-010,2,4,Alunite,Dickite,2203.6,0.76
DH-010,4,6,Chlorite,Dickite,2203.5,0.46
DH-010,6,8,Epidote,Quartz,2201.1,0.7
DH-010,8,10,Alunite,Gypsum,2197.2,0.64
DH-010,10,12,Kaolinite,Gypsum,2202.3,0.55
DH-010,12,14,Chlorite,Smectite,2205.8,0.73
DH-010,14,16,Alunite,None,2199.6,0.88
DH-010,16,18,Epidote,Dickite,2205.1,0.95
DH-010,18,20,Kaolinite,Smectite,2212.6,0.73
DH-010,20,22,Alunite,Dickite,2209.1,0.62
DH-010,22,24,Alunite,Smectite,2211.6,0.52
DH-010,24,26,Epidote,None,2206.6,0.54
DH-010,26,28,Chlorite,Smectite,2209.7,0.66
DH-010,28,30,Kaolinite,Dickite,2202.1,0.6
DH-010,30,32,Illite,Gypsum,2202.4,0.9
DH-010,32,34,Muscovite,Dickite,2194,0.6
DH-010,34,36,Chlorite,Quartz,2209.7,0.61
DH-010,36,38,Kaolinite,Quartz,2211.2,0.61
DH-010,38,40,Alunite,Quartz,2202.8,0.86
DH-010,40,42,Kaolinite,Quartz,2204,0.76
DH-010,42,44,Muscovite,None,2202,0.74
DH-010,44,46,Epidote,Gypsum,2206.5,0.58
DH-010,46,48,Muscovite,Gypsum,2209.5,0.85
DH-010,48,50,Illite,Dickite,2198,0.42
DH-010,50,52,Illite,Smectite,2206.6,0.88
DH-010,52,54,Muscovite,Dickite,2203.9,0.68
DH-010,54,56,Chlorite,Dickite,2205.5,0.62
DH-010,56,58,Chlorite,Dickite,2206.8,0.67
DH-010,58,60,Alunite,Dickite,2204.2,0.77
DH-010,60,62,Illite,Gypsum,2204.6,0.41
DH-010,62,64,Alunite,Smectite,2204.1,0.88
DH-010,64,66,Illite,Dickite,2208.9,0.65
DH-011,0,2,Muscovite,Gypsum,2206.7,0.59
DH-011,2,4,Chlorite,Dickite,2205.9,0.48
DH-011,4,6,Chlorite,Quartz,2199.9,0.64
DH-011,6,8,Muscovite,Dickite,2203.5,0.67
DH-011,8,10,Alunite,Dickite,2208.6,0.62
DH-011,10,12,Alunite,None,2205.2,0.77
DH-011,12,14,Kaolinite,Quartz,2207.6,0.63
DH-011,14,16,Illite,Smectite,2212.1,0.93
DH-011,16,18,Alunite,Dickite,2209.2,0.73
DH-011,18,20,Muscovite,Smectite,2205.4,0.84
DH-011,20,22,Alunite,Quartz,2203,0.46
DH-011,22,24,Chlorite,Dickite,2194.8,0.62
DH-011,24,26,Illite,None,2204.3,0.59
DH-011,26,28,Epidote,Gypsum,2203.7,0.71
DH-011,28,30,Kaolinite,None,2206.6,0.87
DH-011,30,32,Illite,None,2204.4,0.44
DH-011,32,34,Chlorite,Gypsum,2203.7,0.44
DH-011,34,36,Chlorite,Gypsum,2197.9,0.87
DH-011,36,38,Chlorite,Gypsum,2201.2,0.52
DH-011,38,40,Chlorite,Dickite,2206.9,0.77
DH-011,40,42,Muscovite,Smectite,2211.9,0.7
DH-011,42,44,Kaolinite,Smectite,2204.6,0.86
DH-011,44,46,Epidote,Gypsum,2206.3,0.47
DH-011,46,48,Chlorite,None,2208.8,0.47
DH-011,48,50,Chlorite,Quartz,2201.8,0.71
DH-011,50,52,Alunite,Gypsum,2206.5,0.92
DH-011,52,54,Kaolinite,None,2202,0.63
DH-011,54,56,Illite,None,2208.5,0.58
DH-011,56,58,Kaolinite,Dickite,2205.6,0.73
DH-011,58,60,Kaolinite,Dickite,2206.2,0.91
DH-011,60,62,Epidote,Smectite,2201.9,0.86
DH-011,62,64,Kaolinite,Smectite,2207.8,0.95
DH-011,64,66,Epidote,Quartz,2213.3,0.41
