HOLE_ID,FROM,TO,Al_pct,Ca_pct,Cu_ppm,Fe_pct,K_pct,Mg_pct,Mn_ppm,Na_pct,P_pct,Pb_ppm,S_pct,Ti_pct,Zn_ppm,Mo_ppm,As_ppm
DH-002,32,34,6.85,4.76,244.9,5.33,3.14,2.96,1835.2,2.89,0.236,392.4,3.2,0.588,1032.8,177.2,311.3
DH-002,34,36,14.7,2.91,362.5,6.33,0.64,2.82,962,2.82,0.461,14.2,6.03,0.762,1424.5,87.7,64.2
DH-002,36,38,12.75,3.2,1587.3,8.42,2.38,0.23,969.8,1.96,0.35,645.6,1.09,0.523,231,3.7,14.5
DH-002,38,40,14.39,2.3,1577.7,4.13,2.59,0.58,2255.3,1.84,0.367,620.5,6.2,0.542,585.6,102.1,578.4
DH-002,40,42,13.95,1.54,1279.8,7.1,2.69,0.48,239.6,0.54,0.432,443.3,1.97,0.43,841,60.2,229.3
DH-002,42,44,10.98,1.71,1470.8,6.09,3.69,2.21,2718.4,2.72,0.144,62.5,5.45,0.699,133.6,205.1,363.9
DH-002,44,46,14.22,3.4,989,3.4,3.43,2.47,2571.6,0.99,0.405,615.5,4.57,1.028,26.2,85.7,52.4
DH-002,46,48,5.88,3.79,398.1,8.91,3.84,0.72,2036.6,1.76,0.106,471.1,7.44,0.282,1012.2,207.2,411.5
DH-002,48,50,6.96,3.98,559,8.18,4.71,1.57,1820.3,1.03,0.179,627.7,3.16,1.125,969.9,2.1,559.9
DH-002,50,52,5.45,3.97,290.5,6.93,4.97,2.54,2687.7,0.51,0.174,603.9,0.62,0.842,628,78.3,347.5
DH-002,52,54,8.25,0.55,2919.1,8.66,4.45,2.23,637.5,2.22,0.489,644.4,0.25,0.997,744.7,61.8,80
DH-002,54,56,8.89,2.52,1100.7,8.81,5.76,1.67,329,0.24,0.43,419.2,6.63,0.69,634.9,59.9,351.1
DH-002,56,58,7.71,0.38,664.7,7.38,0.6,1.81,794.6,2.63,0.354,120.9,4.25,0.946,55.5,18.9,461
DH-002,58,60,13.29,2.79,793.9,8.53,1.58,1.57,2404.3,1.15,0.366,540.2,6.22,0.069,516.3,48.4,246.8
DH-002,60,62,8.57,2.26,3581.4,7.28,0.54,0.96,200.5,0.05,0.285,500.2,1.95,0.991,282.1,139.8,528.5
DH-002,62,64,7.81,4.45,249.8,7.12,4.06,1.74,1790.1,1.81,0.474,596.4,2.83,0.096,165.7,74.3,391
DH-002,64,66,10.43,1.82,1108.9,6.57,5.44,2.1,2986.8,0.21,0.253,144.2,0.34,1.073,1435.9,105.5,540.1
DH-003,0,2,6.41,0.67,896,7.77,1.84,2.63,2581.5,1,0.196,164,7.7,1.191,907.1,95.5,376
DH-003,2,4,13.02,0.8,1184.4,2.43,5.6,1.95,1612.2,2.49,0.09,713.4,5.38,0.388,1098.4,219.2,83.1
DH-003,4,6,5.75,3.83,71.9,8.93,0.83,2.31,284.6,0.27,0.395,602.5,7.47,0.292,486.7,226.5,189.3
DH-003,6,8,14.87,3.13,2518,8.85,5.64,0.56,2511,2.95,0.37,727.5,2.2,0.93,601.9,124.3,125.1
DH-003,8,10,12.72,0.6,3278,1.26,2.43,1.44,1837,0.06,0.198,609.4,4.93,0.341,370.6,83.9,545.8
DH-003,10,12,6.99,0.51,1049.3,8.43,1.06,0.13,433.3,0.9,0.022,481.8,5.46,1.045,163.5,28.5,457.4
DH-003,12,14,5.06,3.53,1481.4,2.16,3.17,0.82,372.2,2.61,0.421,526.8,2.61,0.168,285,238.4,407.5
DH-003,14,16,13.15,0.46,3119,4.02,1.91,2.21,2737.9,1.14,0.016,712.4,6.8,0.195,1200.3,16.9,184.1
DH-003,16,18,12.07,4.13,1524.1,7.69,2.07,2.98,2040.7,0.4,0.355,467.3,7.58,1.176,1022.8,75.8,114.5
DH-003,18,20,12.29,3.56,248.6,2.45,2.19,0.39,2504.9,1.29,0.485,509.6,7.09,0.825,829.5,75.9,455.1
DH-003,20,22,12.71,0.5,1080.4,8.36,4.92,1.26,2649,0.98,0.224,133.6,5.94,1.024,723.1,81.5,287.1
DH-003,22,24,5.74,0.52,1169.9,8.49,3.47,2.42,1758.1,2.96,0.125,384.4,2.29,0.423,1385.2,42.7,139.3
DH-003,24,26,8.58,4.93,712.2,5.57,2.21,0.69,1600.6,1.13,0.355,576,2.32,0.828,127.6,196.2,371.9
DH-003,26,28,6.16,1.93,1650.2,1.06,3.86,1.71,1348.2,2.77,0.41,224,7.71,0.733,435.3,32.4,29
DH-003,28,30,13.63,1.92,3318.4,3.58,4.44,2.23,1019.1,3.13,0.278,169.8,0.18,0.744,537.9,159.5,199.1
DH-003,30,32,11.23,4.08,3167.5,6.55,2,1.89,1360.3,1.55,0.484,257.9,5.76,0.835,1178,32.7,283.8
DH-003,32,34,8.31,4.74,769.2,9.83,2.77,0.65,2344.3,3.19,0.035,200.8,5.68,0.712,1488.9,19.5,93
DH-003,34,36,5.64,4.93,194.2,6.69,1.17,1.13,1845.6,1.35,0.257,179.8,5.02,0.543,376.2,227.5,590.9
DH-003,36,38,8.11,3.79,5077,3.34,1.5,2.37,2688.3,3.38,0.362,345.6,7.92,0.367,1314,49.2,129.4
DH-003,38,40,8.25,1.94,2240.9,6.71,4.25,1.71,1385.8,0.36,0.433,727.2,2.56,0.934,1249.3,205.7,82.6
DH-003,40,42,12.3,0.51,209.8,5.86,1.5,0.12,1860.6,2.42,0.098,410.6,2.79,0.31,352.5,137.1,126.1
DH-003,42,44,11.38,3.91,3093.6,8.02,3.39,2.31,1930.8,1.75,0.402,158.5,0.72,0.846,611,21.3,462.6
DH-003,44,46,13.87,2.84,2497.3,1.96,4.4,0.2,1815.9,1.39,0.281,70.8,3.6,0.318,626.3,239,258.2
DH-003,46,48,9.72,2.18,927.9,7.85,1.09,2.26,2137.6,2.23,0.204,560,2.16,0.769,1467.8,63.2,341.4
DH-003,48,50,6.2,4.54,1123.7,5.87,3.62,0.69,788.6,2.48,0.075,312.4,2.81,0.909,287.7,215.2,17.5
DH-003,50,52,12.13,0.64,661,9.67,1.91,2.88,1585.9,0.07,0.434,659.2,6.69,0.302,1202.8,43.9,25.5
DH-003,52,54,12.61,2.51,117.6,4.08,5.8,1.17,402.3,0.63,0.087,531,7.49,0.119,514.6,213.8,270.3
DH-003,54,56,10.61,0.16,539.9,6.69,3.16,1.05,1215.1,2.51,0.162,639,1.57,0.201,1101.7,5.3,490.9
DH-003,56,58,12.71,2.4,1998.6,9.39,4.93,0.53,1514.2,2.35,0.152,224.8,3.04,0.747,641.6,128.9,531.7
DH-003,58,60,9.94,0.38,55.6,1.92,3.53,0.99,1991.5,3.38,0.437,557,7.44,1.027,876,192.8,56.6
DH-003,60,62,10.23,0.68,536.9,9.44,0.74,2.64,2856.5,2.68,0.34,218.6,0.59,0.102,1252.3,233.8,325.3
DH-003,62,64,9.28,0.68,659.3,7.19,3.98,2.99,1841.9,3.33,0.4,751.9,0.83,0.894,1210.2,227.5,548.4
DH-003,64,66,5.25,3.28,975.1,1.61,5.73,1.17,2256.4,2.47,0.133,512.7,1.39,0.443,1302.3,205.3,235.8
DH-004,0,2,6.08,3.76,3078.7,3.71,3.81,1.4,1568.2,1.08,0.316,266.4,4.8,0.6,108.2,222.3,498.6
DH-004,2,4,5.31,2.96,560.2,7.37,5.01,2.19,1938.9,0.41,0.29,222.9,1.29,1.118,1044.2,51.4,84.5
DH-004,4,6,11.36,4.81,561.3,1.61,5.36,2.67,305.7,2.75,0.418,160.8,7.75,0.432,227.2,72.5,561.6
DH-004,6,8,8.14,1.94,1655,6.24,1.75,1.82,837.7,2.27,0.454,558.8,3.63,0.585,635.4,73.7,452.1
DH-004,8,10,10.09,1.5,772.3,4.11,1.67,1.24,1149.4,0.22,0.016,182.8,4.06,0.066,831.9,95.5,565.1
DH-004,10,12,14.08,4.36,355.3,6.59,3.86,1.3,1470.2,1.29,0.34,480.3,2.05,0.144,616.1,99.5,407.6
DH-004,12,14,7.49,1.2,772.7,1.41,2.76,2.12,232.4,3.35,0.035,219.1,3.82,0.347,789,137,221.2
DH-004,14,16,9.1,4.82,232.2,8.84,5.12,0.11,506.1,1.78,0.279,533,5.33,0.082,1494.9,41.7,563.2
DH-004,16,18,12.56,0.16,282.9,9.76,5.45,1.9,902.8,1.54,0.151,653.8,6.03,0.776,220.1,173.4,169
DH-004,18,20,7.29,4.85,877.9,9.72,2.44,1.13,2917.4,1.63,0.16,624.6,6.06,0.54,1019.7,43.6,202.6
DH-004,20,22,5.77,0.31,701.5,7.75,1.8,2.4,1060.9,0.77,0.183,611.1,4.67,0.68,606.1,79,422
DH-004,22,24,7.9,4.47,3006,2.17,4.79,0.37,1497.9,1.32,0.314,158.3,7.24,0.251,216.9,126.8,460.4
DH-004,24,26,6.61,2.69,590,7.82,2.01,1.81,668.7,1.33,0.174,79.8,6.56,0.39,254.9,199.5,558
DH-004,26,28,14.3,4.97,1092.7,1.22,5.02,1.49,1871.3,0.23,0.369,562.2,6.08,0.813,1424.9,185.4,126.9
DH-004,28,30,13.08,0.46,1250.5,1.2,2.83,1.96,914,2.7,0.208,301,0.54,1.16,1321.8,162.1,479.8
DH-004,30,32,11.33,2.81,65.8,3.91,4.17,0.29,700.3,1.49,0.043,351.6,0.15,0.108,1362.4,40.6,444.4
DH-004,32,34,13.71,4.85,1357.1,5.4,1.03,1.78,1598.1,2.89,0.394,34.6,1.78,1.074,1487.5,137.7,43
DH-004,34,36,13.04,2.66,285.3,7.93,3.93,1.73,116,2.98,0.15,215.1,5.34,0.713,328.3,23.7,235.4
DH-004,36,38,6.87,3.18,3945.2,7.15,2.98,1.73,122.2,0.78,0.222,36.6,3.35,0.699,546.1,95.6,173.2
DH-004,38,40,13.93,3.51,243.1,5.01,3.73,1.85,735.3,2.32,0.346,704.6,3.28,0.625,1010.4,104.6,186.2
DH-004,40,42,10.39,2.33,692.6,3.46,1.42,2.06,206.5,1.68,0.173,202.3,7.09,0.13,736,11.9,589.9
DH-004,42,44,13.07,3.18,157.1,9.97,4.55,2.43,413.3,3.09,0.038,450.3,7.17,0.153,639.2,69.9,387.5
DH-004,44,46,13.96,2.96,6971.7,4.84,5.25,0.88,1082.7,0.79,0.193,40.8,7.28,0.741,549.6,239,432
DH-004,46,48,8.18,4.52,887.1,5.06,1.69,2.49,2427.5,2.39,0.473,536.8,2.58,0.442,898.8,238.5,586.1
DH-004,48,50,6.1,0.32,1135.8,2.47,1.03,1.54,1758.9,2.15,0.324,265.2,5.56,1.105,871.9,89.4,229.4
DH-004,50,52,7.28,1.48,133.3,8.15,0.63,0.32,1586.7,1.07,0.339,719.4,2.25,0.518,259,12.7,482.1
DH-004,52,54,9.27,4.76,1713.4,7.24,4.03,0.27,951.1,0.52,0.32,711.6,1.61,0.215,718.2,46.4,263.5
DH-004,54,56,13.18,4.46,332.7,2.99,3.84,1.07,2802.1,2.3,0.108,267,1.56,0.872,839.1,99.3,522.4
DH-004,56,58,13.61,2.33,2790,1.74,3.51,2.38,1251.3,2.6,0.215,721.8,2.8,0.387,864,237,112.5
DH-004,58,60,5.07,3.14,325.5,7.12,1.78,2.15,352.6,1.14,0.378,797,3.5,0.654,331,37,568.9
DH-004,60,62,10.11,1.46,303.9,6.89,2.65,2.39,1889.5,2.27,0.06,662.1,6.66,0.853,1118.6,191.4,135.2
DH-004,62,64,9.17,1.02,94.7,3.46,3.77,1.6,430.1,1.41,0.146,677.4,1.05,1.085,57.3,29,199.1
DH-004,64,66,7.22,2.37,816.5,9.56,3.23,1.38,1101.1,2.51,0.145,206.7,5.91,0.961,545.2,245.4,454.9
DH-005,0,2,6.2,1.83,1048.5,2.36,5.93,0.53,1571.5,0.74,0.222,465.6,4.3,0.828,1174.7,96.6,239.3
DH-005,2,4,8.38,2.96,131.6,4.89,1.25,1.05,2635.2,3.12,0.49,63.1,2.37,0.832,854.6,194.3,366.9
DH-005,4,6,14.43,0.48,1842.8,9.49,4.32,1.36,1531.3,1.04,0.043,85,3.99,1.138,406.5,87,269.5
DH-005,6,8,8.23,4.87,774.6,4.78,2.72,0.36,2136.6,1.32,0.264,799.1,2.47,0.39,1048.5,157.7,446.7
DH-005,8,10,10.19,4.93,941.8,6.75,2.86,0.74,2979.2,0.25,0.098,268,4.81,0.051,859.7,49.6,140.9
DH-005,10,12,12.03,3.52,747.4,4.58,4.45,1.83,481.3,0.43,0.486,601.1,3.53,0.363,1198.4,38.2,39.8
DH-005,12,14,8.64,2.73,664.5,3.47,4.31,2.23,896.7,1.83,0.066,647.3,1.4,0.301,1107.8,234.6,183.5
DH-005,14,16,14.72,1.62,1034.2,9.86,5.95,3,1244.3,0.97,0.208,687.8,1.02,0.811,923,229.6,287.2
DH-005,16,18,14.62,4.09,252.4,4.68,1.21,2.81,1323.3,2.93,0.372,798.1,4.42,0.779,742.5,222.1,105
DH-005,18,20,7.52,3.46,291,9.05,1.07,1.96,1292,0.1,0.355,200.8,7.23,0.732,217.1,157.1,216.1
DH-005,20,22,9.97,0.9,2424.7,3.07,4.48,1.32,2732.1,1.36,0.217,41.9,2.82,0.069,406.8,202.5,243
DH-005,22,24,8.01,4.56,3555.1,2.92,3.68,1.94,2170.7,1.21,0.18,334.8,5.89,0.888,640.3,19.1,39.1
DH-005,24,26,7.85,4.13,610.8,1.28,2.01,2.38,1862.9,0.12,0.205,112.8,5.3,0.422,907,85,352.1
DH-005,26,28,5.37,4.75,428.9,6.87,0.94,0.44,997.2,0.48,0.139,27.7,7.46,0.815,780.3,79.8,531.2
DH-005,28,30,11.1,3.66,1289.4,4.32,0.97,1.29,2489,1.48,0.111,294.7,6.59,0.69,446.5,159.6,95.3
DH-005,30,32,10.03,3.11,680.6,8.78,5.42,2.54,2869.7,1.75,0.247,629.2,4.58,0.444,29.6,90.3,360.7
DH-005,32,34,5.51,2.15,80.9,5.26,1.56,1.21,2481.5,1.44,0.142,457.3,5.29,0.205,754.4,38.8,400.5
DH-005,34,36,7.79,4.67,253.7,9.71,2.28,1.76,104.5,1.88,0.151,257.1,7.2,0.159,442.7,149.9,254.5
DH-005,36,38,14.08,4.34,1560.4,2.67,1.75,1.8,1945.6,2.1,0.332,526.9,3.26,1.006,1107.2,204,422.2
DH-005,38,40,7.4,0.32,1340.8,8.82,2.45,0.63,248.3,0.08,0.485,193.3,2.68,1.106,55.4,96.8,249.4
DH-005,40,42,6.45,0.23,83,7.99,0.88,1.15,847.1,1.65,0.306,21.4,0.19,0.797,885.5,34.8,305.3
DH-005,42,44,9.89,1.94,351.2,7.94,3.35,1.07,272.6,3.37,0.048,613.8,6.63,0.169,1413.4,50.8,9.4
DH-005,44,46,14.86,4.07,365.3,8.6,0.87,0.18,1851,1.84,0.047,502.8,6.43,0.512,278.1,60.9,416.6
DH-005,46,48,7.42,4.94,1387.3,7.85,4.9,0.17,2091.1,2.39,0.476,612.2,0.93,0.888,718,76.4,398.5
DH-005,48,50,11.72,0.84,73.9,6.64,1.79,2.51,432,1.13,0.156,40.8,4.66,0.947,155.3,161.4,27.8
DH-005,50,52,12.62,3.01,181.9,2.18,3.47,0.89,1213.1,2.72,0.055,671.3,3.77,0.186,946,151,224.1
DH-005,52,54,7.38,1.97,1980.8,1.29,5.34,1.6,1423.1,2.72,0.304,499.4,1.04,0.05,834.8,174.6,587.5
DH-005,54,56,12.28,4.85,286,9.29,4.08,0.97,1170.3,1.85,0.316,455.1,7.85,0.869,622.9,91.9,255.3
DH-005,56,58,8.68,4.23,1319.2,6.55,3.43,2.83,451,3.42,0.328,503.4,1.8,0.46,791.6,206.4,303.7
DH-005,58,60,11.32,4.21,376.5,8.17,2.28,0.85,1314.9,0.48,0.141,692.9,0.63,0.343,1346.9,52.6,546.4
DH-005,60,62,11.34,2.4,175.7,5.33,2.33,1.35,2278.4,0.11,0.017,473.7,4.8,0.065,310.5,118.3,431.8
DH-005,62,64,10.36,2.13,384.3,2.06,4.18,2.63,305.9,2.71,0.483,469,5.94,0.671,53.4,200.6,351.3
DH-005,64,66,5.9,1.44,1587.3,2.13,5.97,2.54,332.5,2.83,0.133,792.6,0.36,1.029,1295.3,46.7,479.7
DH-006,0,2,13.35,0.38,2373,7.17,4.14,0.64,1128.8,0.46,0.341,607.8,5.3,1.151,874.1,29.2,519.3
DH-006,2,4,8.21,4.34,2177.9,4.87,3.57,2.43,2831,0.97,0.356,359.4,4.31,0.701,1338.2,221.2,276.8
DH-006,4,6,6.87,4.08,657.4,2.8,4.52,1.43,2038.9,0.11,0.309,568.8,0.92,0.642,903.5,87,287.7
DH-006,6,8,5.41,5,1373.5,5.42,3.06,1.5,2068.1,1.06,0.163,317.5,1.46,0.148,1219,171.6,234.7
DH-006,8,10,10.91,4.98,325.3,1.58,0.83,0.49,1149.6,2.72,0.143,190.8,4.59,0.681,655.9,8.3,580.2
DH-006,10,12,11.78,2.82,466.3,6.24,3.59,0.33,1821.6,1.84,0.303,481.5,2.44,0.487,1129.8,173.1,419.8
DH-006,12,14,5.17,3.87,2769.9,3.42,5.77,2.21,129.4,1.25,0.434,743.3,7.51,0.748,1371.3,80.4,54.5
DH-006,14,16,10.12,4.73,65.7,8.18,1.46,1.54,1944.7,1.33,0.474,744,6.57,0.497,866.7,15.8,518.5
DH-006,16,18,7.26,4.26,157.3,3.79,4.3,1.37,2748.5,0.05,0.062,280.1,7.87,0.326,287.6,153.2,290.9
DH-006,18,20,11.45,1.31,329.7,5.1,1.61,2.22,1876.5,1.08,0.086,426.9,2.15,0.159,417.8,61.7,45.9
DH-006,20,22,6.74,2.31,82.3,1.1,3.45,2.32,2633.7,2.28,0.473,177.2,7.76,0.412,314,97.9,332.1
DH-006,22,24,11.91,0.73,290.2,1.65,1.03,0.56,2199.5,3.41,0.371,796.5,3.51,0.161,385.3,22,253.2
DH-006,24,26,8.87,4.77,1099.7,4.53,2.98,1.87,449.6,2.97,0.443,785.1,2.85,0.253,473.5,38.5,527.3
DH-006,26,28,14.37,3.07,706.6,5.32,4.66,0.49,2717.1,0.13,0.109,523.1,0.5,1.185,841.6,75.9,126.4
DH-006,28,30,6.38,1.22,2728.2,6.4,2.41,2.28,292.7,3.15,0.298,645.5,0.52,0.561,890.2,24.3,496.7
DH-006,30,32,8.41,3.39,2090.8,3.62,4.16,2.01,1648.5,2.75,0.354,574.9,5.57,0.662,651.2,227.9,336.8
DH-006,32,34,6.13,3.13,551.9,7.25,4.87,2.87,512.2,2.74,0.343,478.6,3.72,1.055,930.8,3.5,37.5
DH-006,34,36,14.25,1.85,410.4,8.74,5.6,0.3,133.9,1.63,0.21,52.1,1.89,1.195,140.7,122,583.2
DH-006,36,38,13.77,0.66,623,8.02,1.79,0.27,1323.9,1.42,0.018,369.3,4.95,0.72,149.9,32.6,310
DH-006,38,40,7.58,3.39,1120.8,1.36,2.7,0.92,955.6,1.1,0.296,543.1,2.1,0.984,274.3,78.3,178.1
DH-006,40,42,11.6,2.65,424.5,5.32,1.34,0.86,1509.4,0.28,0.134,545.2,4.66,0.426,786.8,231.7,284.3
DH-006,42,44,13.17,3.88,1224.3,1.94,5.96,0.82,1773.9,0.84,0.231,304.8,2.94,0.402,336.7,42.1,515.4
DH-006,44,46,10.55,2.65,682,3.18,5.6,2.73,226.8,0.9,0.479,753.9,6.61,0.513,439.3,241.5,186.4
DH-006,46,48,10.3,4.28,1013.7,9.88,3.47,0.82,456.7,1.72,0.206,142.2,6.58,0.823,612.5,53,119.6
DH-006,48,50,7.42,2.8,737.5,2.28,5.13,0.89,1720.1,2.63,0.422,405.3,3.87,0.835,1221.6,185.9,81.8
DH-006,50,52,5.93,2.85,468.6,5.49,3.37,2.3,1095.2,1.68,0.102,555.8,2.87,0.413,40.5,137.6,182.2
DH-006,52,54,13.97,4.4,3608.3,6.56,3.93,1.4,2214.6,0.25,0.34,560.7,2.96,0.203,981.1,221.4,469.1
DH-006,54,56,14,2.08,1780.7,7.32,0.99,2.35,1991.6,3.35,0.489,522.4,6.47,0.777,1009.9,139.4,285.6
DH-006,56,58,11.33,0.76,231.1,6.04,4.65,0.29,2552.3,3.3,0.06,227.5,2.69,0.198,1202,134.6,140.4
DH-006,58,60,8.39,0.24,2484.2,1.09,1.2,1.51,2108.2,2.76,0.014,133.4,1.75,0.715,1400.5,50.5,103.9
DH-006,60,62,8.49,3.8,852,3.94,5.04,0.2,1346.8,3.47,0.222,512.4,0.77,0.847,49.8,43.2,203
DH-006,62,64,12.26,3.14,2749.4,5.66,4.8,0.28,2051.6,1.93,0.055,483.4,3.79,0.856,247.6,229.3,564.3
DH-006,64,66,13.97,3.55,1980.5,1.79,4.4,2.73,898.6,3.37,0.377,151.7,3.91,0.916,1331.5,83.3,209.1
DH-007,0,2,13.87,1.14,714.5,4.16,0.7,0.5,988.3,0.31,0.458,567.1,6.74,1.054,698.6,94.3,592.9
