N,Código,Tipo de muestra,x,y,Zona,Hoja,Nombre del proyecto,Año del proyecto ,N° Boletín,Serie,Año de Publicación,Región,Reporte,Laboratorio,Análisis,Geología,Au_g/Tm,Hg_ppb,Ag _ppm,Ba_ppm,Co_ppm,Cr_ppm,Cu_ppm,La _ppm,Li_ppm,Ni_ppm,Pb_ppm,Sc_ppm,Rb_ppm,Sr_ppm,V_ppm,Zn_ppm,As_ppm,Bi_ppm,Cd_ppm,Mo_ppm,Sb_ppm,Tl_2_ppm,W_2_ppm,Al_pct,Ca_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Na_pct,P_pct,Si_pct,Ti_pct,Y_ppm,Zr_ppm,Be_ppm,Ce_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,In_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Sm_ppm,Ta_ppm,Tb_ppm,Th_ppm,Tm_ppm,U_ppm,W_1_ppm,Yb_ppm
11,23l-RGQ24-008,Rocas,435016,8740309,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca metamórfica de color gris verdoso y textura obliterada, con minerales verdosos (serpentinita?) y óxidos oscuros (ancho: 2 m).",na,na,<0.5,38,84,1084,46,<2,4.255,1202,<5,18,<2,<2,623,70,<5,<10,<1,<2,<2,<0.5,<5,2.99,0.34,9.88,<0.01,18.62,0.31,<0.01,<0.01,16.72,0.89,<5,7,<0.6,1,0.41,1.2,0.8,0.1,13.1,0.7,0.3,0.2,<0.2,<0.15,<0.5,1.1,0.2,0.5,<0.5,0.1,<0.2,0.1,<0.1,<1,0.8
12,23l-RGQ24-010,Rocas,435266,8741054,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Cuerpo de peridotita gris oscuro, tonalidad melanócrata con textura afánitica y diseminación de carbonatos. Estas rocas exponen una alteración de serpentina con diseminación y venillas de magnetita. Esquistocidad N 350°/60°NE. Ancho 3 m.",na,na,<0.5,8,86,1518,8,11.2,2.247,1124,<5,15,<2,2,130,93,<5,<10,<1,<2,<2,<0.5,<5,3.42,3.69,9.65,<0.01,17.24,0.32,<0.01,0.12,15.97,0.99,105,82,0.7,38.6,0.07,17.8,11.8,2.2,10.8,13.4,3.5,3.9,<0.2,1.69,6.2,34.1,6.5,10.9,0.7,2.4,1,1.8,0.2,<1,11.6
13,23l-RGQ24-012,Rocas,435589,8739606,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Afloramiento de peridotita gris melanócrata que se altera a serpentinita con presencia de diseminados y parches de magnetita que se alteran a serpentinitas. Rumbo de la labor N 330°, esquistosidad N 150°/65°SW.",na,na,<0.5,9,100,2884,<2,<2,<2,2391,<5,<5,<2,<2,21,38,7,<10,<1,<2,<2,<0.5,<5,0.23,0.03,4.8,<0.01,21.68,0.04,<0.01,<0.01,18.98,<0.01,<5,<5,<0.6,1.1,0.06,<0.1,<0.1,0.1,0.7,<0.1,<0.2,<0.1,<0.2,<0.15,<0.5,0.5,0.1,0.1,<0.5,<0.1,<0.2,<0.1,<0.1,<1,<0.1
14,23l-RGQ24-016,Rocas,431490,8749245,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca volcánica (toba) color gris claro, geometría tabular, textura porfirítica alterada (obliterada) con biotita y hornblendas anhedrales alterándose a óxidos de hierro.",na,na,<0.5,49,4,4,<2,16.9,10.934,<5,<5,6,<2,84,22,25,<5,<10,<1,<2,<2,<0.5,<5,7.67,0.11,1.82,0.17,0.62,0.03,4.81,0.04,32.84,0.27,42,390,2.4,126.7,0.21,8.4,4.5,2.2,21.3,9.9,10.9,1.6,<0.2,0.65,25.4,63.7,16.3,12.7,1.7,1.4,14.7,0.7,3.2,<1,4.5
15,23l-RGQ24-017,Rocas,431400,8749526,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca metamórfica color gris verdoso y textura foliada, con vetillas de cuarzo; se encuentra en contacto con las tobas riodacíticas, estratos de filitas y esquistos.",na,na,<0.5,538,19,68,20,15.6,31.448,36,11,15,92,66,97,79,<5,<10,<1,<2,<2,0.7,<5,8.25,0.43,4.47,3.02,1.58,0.07,1.64,0.11,30.07,0.46,31,215,3.1,77.5,7.6,5.6,3.3,1.4,22.5,6.3,5.8,1.1,<0.2,0.48,15.7,36.4,9.4,7.8,1.3,0.9,13,0.5,2.6,2,3.2
16,23l-RGQ24-018,Rocas,429909,8751286,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Esquistos sericítico con fracturas tapizadas óxidos - jarosita, textura lepidoblástica, grado de metamorfismo medio a alto. Esquistosidad N 160°/30°SW.",na,na,<0.5,574,18,81,3,<2,26.039,45,<5,25,90,48,121,98,<5,<10,<1,<2,<2,0.9,<5,9.17,0.01,5.13,3.36,0.74,0.04,0.25,0.03,28.98,0.61,35,230,4.1,97.3,9.14,6.6,4,1.5,26.4,7.7,6.5,1.3,<0.2,0.6,25.8,44,11.6,8.9,2.1,1.1,18.5,0.6,3.3,3,3.9
17,23l-RGQ24-019,Rocas,430549,8750070,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Esquisto sericítico de textura lepidoblástica, con fracturas tapizadas de óxidos. Esquistosidad: N 190°/ 50°NW.",na,na,<0.5,334,20,81,81,<2,21.618,51,<5,15,22,48,102,58,6,<10,<1,<2,<2,0.7,<5,8.52,0.12,5.55,2.63,1.22,0.06,0.25,0.1,28.88,0.57,29,475,2.8,98.8,6.66,5.7,3.4,1.3,22.9,5.5,12.5,1.2,<0.2,0.59,18.3,28.6,7.6,6.2,1.5,0.9,15.2,0.6,3.6,2,3.8
18,23l-RGQ24-020,Rocas,430960,8749061,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Toba volcánica de color gris, geometría tabular, textura irregular, conformada por clastos subangulares y redondeados. Presenta ojos de caruzo y xenolitos. Diaclasa S15°E/45°SW.",na,na,<0.5,486,8,17,42,6.7,12.34,6,7,8,35,36,32,19,30,<10,<1,<2,<2,<0.5,<5,7.23,0.1,2.55,1.55,0.56,0.06,2.56,0.04,32.91,0.14,28,157,2.4,64.5,3.2,5.1,3.2,1,17.9,5.2,5,1.1,<0.2,0.49,12.4,27.5,7.6,6.1,1.4,0.8,18.9,0.5,4.1,<1,3.3
19,23l-RGQ24-024,Rocas,427804,8752429,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca volcánica-sedimentaria, tabular-afanítica, tonalidad gris claro, textura granular fina, intercalada con lutitas grises oscuras. Fractura N40°W, vertical.",na,na,<0.5,261,21,52,15,<2,32.966,34,<5,10,60,36,98,40,13,<10,<1,<2,<2,0.6,<5,6.32,0.06,3.09,1.79,0.53,0.04,0.35,0.03,34.53,0.37,27,162,2.6,59.5,5.07,5.2,2.9,1.2,17,5.4,4.8,1,<0.2,0.44,9.2,28.3,7.2,6.3,1.2,0.8,11.6,0.5,2.6,2,3
20,23l-RGQ24-027,Rocas,428029,8760767,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III",Roca intrusiva color blanquecino y textura obliterada. Moderadamente intemperizada y deleznable con relictos de biotita anhedral.,na,na,<0.5,485,6,6,3,27.7,16.993,8,21,11,195,40,28,40,<5,<10,<1,<2,<2,0.6,<5,13.93,0.1,1.91,3.73,0.34,0.03,0.17,0.03,24.8,0.22,53,220,4.7,43.6,3.31,8.5,5,2.3,30.8,8.9,6.1,1.7,<0.2,0.75,28.8,44,12.1,9.4,3.2,1.3,10.3,0.8,4.4,1,5.3
21,23l-RGQ24-028,Rocas,428348,8760356,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca intrusiva de tonalidad mesócrata, geometría tabular, textura obliterada con relictos de biotita y óxidos de hierro en las fracturas, cortado por aplitas de cuarzo (5-10 cm).",<0.027,<10,<0.5,425,18,12,3,7.9,10.843,8,<5,<5,20,103,40,18,<5,<10,<1,<2,<2,<0.5,<5,7.53,0.77,3.06,2.98,0.67,0.05,2.79,0.09,30.88,0.32,20,285,2.6,69.8,0.48,3.9,2.4,1.3,17.2,4.4,6.9,0.8,<0.2,0.38,42.4,26.8,7.5,5.1,3.3,0.6,13,0.4,3.6,1,2.5
22,23l-RGQ24-029,Rocas,425354,8768006,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III","Roca intrusiva melanócrata gris verdoso, geometría tabular y textura porfirítica. Presenta biotita anhedral con óxidos en fracturas y moderado magnetismo. Alteración propilítica débil con venillas milimétricas de epídota y clorita, así como en la matriz.",na,na,<0.5,447,21,56,3,14.8,21.288,50,6,16,38,142,86,51,<5,<10,<1,<2,<2,<0.5,<5,7.27,1.04,4.96,2.25,1.5,0.1,2.03,0.06,30.22,0.52,26,252,3,87.9,1.66,5.1,2.8,1.5,21.2,6.3,7.1,1,<0.2,0.4,18.7,38.4,9.8,8,1.3,0.9,15.1,0.4,2.1,<1,2.6
23,23l-RGQ24-045,Rocas,425310,8767963,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Veta de cuarzo que corta al intrusivo, con presencia de hematita y goethita en fracturas, parches esporádicos de pirita. Veta de cuarzo S60°W/65°NW.",<0.027,<10,<0.5,20,3,19,3,<2,<2,5,<5,<5,5,10,<10,3,<5,<10,<1,<2,<2,<0.5,<5,0.42,0.06,0.46,0.09,0.09,0.02,0.04,0.01,45.37,0.02,<5,7,<0.6,3.5,0.2,0.2,<0.1,<0.1,2,0.3,<0.2,<0.1,<0.2,<0.15,<0.5,1.6,0.4,0.4,<0.5,<0.1,0.2,<0.1,0.1,<1,<0.1
24,23l-RGQ24-046,Rocas,425243,8767937,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca intrusiva tabular de tonaliadad melanócrata, con epídota y clorita en matriz y venillas milimétricas. Presenta alteración propilítica moderada con pirita diseminada. La biotita anhedral alterando a clorita.",<0.027,<10,<0.5,913,16,50,35,46,15.301,26,9,11,113,182,79,43,<5,<10,<1,<2,<2,<0.5,<5,7.81,1.06,4.39,2.66,0.9,0.09,1.54,0.13,30.52,0.48,35,274,3.6,61.1,1.8,6.6,3.8,3.1,21.6,7.3,7.5,1.3,<0.2,0.54,13.3,31.8,7.7,7.8,1.4,1.1,7.3,0.6,2.6,<1,3.8
25,23l-RGQ24-047,Rocas,426755,8765650,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca metamórfica de color gris oscuro y textura foliada, presenta biotita anhedral alterando a clorita, con abundante óxido, posible protolito intrusivo con pirita diseminada. Estructura S25°E/55°SW.",<0.027,<10,<0.5,347,18,61,76,47.4,29.466,34,10,24,72,133,170,58,7,<10,<1,4,<2,<0.5,<5,6.76,0.48,4.82,1.61,1.51,0.07,0.92,0.09,30.62,0.72,30,149,2.8,65.4,2.23,5.9,3.3,1.4,20.6,6.5,4.1,1.2,<0.2,0.43,12.3,34.4,8.5,7.6,1.2,0.9,9.3,0.5,4.6,1,3.1
26,23l-RGQ24-048,Rocas,426978,8764378,18,23-l,"GE36A9-T02: MAGMATISMO Y GEOQUÍMICA DEL BATOLITO DE LA COORDILLERA ORIENTAL DEL PERÚ CENTRAL, SU RELACIÓN CON ELEMENTOS ESTRATÉGICOS Y ÁREAS DE INTERÉS PROSPECTIVO",2024,No elaborado,No elaborado,No elaborado,Junín,087-2024,INGEMMET,"I, IIa, IIb, III, IV, V","Roca metamórfica micácea color gris verdoso y textura foliada, con abundante óxidos en fracturas y lentes de cuarzo. Roca alterada con pirita diseminada. Estructura S20°E/80°SW.",<0.027,<10,<0.5,505,18,65,5,25.9,23.309,36,7,16,61,78,95,55,<5,<10,<1,<2,<2,<0.5,<5,7.55,0.31,4.75,2.16,1.51,0.09,0.99,0.08,30.57,0.48,41,250,3.4,76.8,1.42,7.9,4.3,1.7,21.4,8.6,6.7,1.6,<0.2,0.59,16.7,38.7,9.7,9.3,1.3,1.2,13.8,0.7,2.1,2,4.1
